new entry "Dome_CircleOfProtection"
type "SkillData"
data "SkillType" "Dome"
data "ForGameMaster" "No"
data "IsEnemySkill" "Yes"
data "ActionPoints" "2"
data "Cooldown" "6"
data "Requirements" "Combat"
data "AIFlags" "CanNotUse"
data "Lifetime" "5"
data "SkillProperties" "PROTECTION_CIRCLE_INITIAL_PA;PROTECTION_CIRCLE_INITIAL_MA"
data "TargetConditions" "Ally;!Dead"
data "AuraSelf" "PROTECTION_CIRCLE_Derpy;PROTECTION_CIRCLE_PA;PROTECTION_CIRCLE_MA"
data "AuraAllies" "PROTECTION_CIRCLE_Derpy;PROTECTION_CIRCLE_PA;PROTECTION_CIRCLE_MA"
data "TargetRadius" "13"
data "AreaRadius" "3"
data "Icon" "Skill_Summoning_CircleOfProtection"
data "DisplayName" "Dome_CircleOfProtection_DisplayName"
data "DisplayNameRef" "Dome of Protection"
data "Description" "Dome_CircleOfProtection_Description"
data "DescriptionRef" "<font size='19'>Conjure a [1] radius luminous globe of benevolent energy at target point, instantly restoring Armor to allies within the globe, as well as at the start of their turn, and granting +[2]% to elemental resistances.</font> "
data "StatsDescription" "Dome_CircleOfProtection_StatsDescription"
data "StatsDescriptionParams" "AreaRadius;Potion:Stats_ProtectionCircle:FireResistance;StatusData:PROTECTION_CIRCLE_INITIAL_PA:HealAmount;StatusData:PROTECTION_CIRCLE_INITIAL_MA:HealAmount;StatusData:PROTECTION_CIRCLE_PA:HealAmount;StatusData:PROTECTION_CIRCLE_MA:HealAmount"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_weapon_01_start"
data "PrepareAnimationLoop" "skill_prepare_weapon_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Warrior_Whirlwind_Prepare_01,KeepRot:Dummy_Root;RS3_FX_Skills_Warrior_Prepare_Ground_01,KeepRot:Dummy_Root;RS3_FX_Skills_Divine_Prepare_Weapon_CircleOfProtection_01:Dummy_L_HandFX,Dummy_R_HandFX"
data "CastAnimation" "skill_attack_round_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Divine_Attack_Round_CircleOfProtection_Root_01:Dummy_Root:cast"
data "Memory Cost" "0"
data "Magic Cost" "1"
data "DomeEffect" "RS3_FX_Skills_Divine_Protective_Dome_01"
data "CycleConditions" "Ally;!Dead"

