new entry "Tornado_Air"
type "SkillData"
data "SkillType" "Tornado"
data "ForGameMaster" "Yes"
data "Ability" "Air"
data "ActionPoints" "1"
data "Cooldown" "4"
data "TargetRadius" "13"
data "HitRadius" "4"
data "RandomPoints" "5"
data "DeathType" "Physical"
data "SurfaceType" "None"
data "SurfaceRadius" "3"
data "SurfaceLifetime" "0"
data "SurfaceStatusChance" "100"
data "PointsMaxOffset" "4"
data "MemorizationRequirements" "AirSpecialist 3"
data "Icon" "SkillAirTornado"
data "DisplayName" "Tornado_Air_DisplayName"
data "DisplayNameRef" "Tornado"
data "Description" "Tornado_Air_Description"
data "DescriptionRef" "<font size="19">A tornado moves randomly across the battlefield, removing surfaces and removing Scorched, Invisible, and Slowed from characters within [1] of it.</font> "
data "StatsDescription" "Tornado_Air_StatsDescription"
data "StatsDescriptionRef" "Radius: [1]"
data "StatsDescriptionParams" "HitRadius"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_air_01_start"
data "PrepareAnimationLoop" "skill_prepare_air_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Air_Prepare_Air_Tornado_Root_01,KeepRot,Detach:root;RS3_FX_Skills_Air_Prepare_Air_Tornado_Hand_01:Dummy_L_HandFX"
data "CastAnimation" "skill_cast_cone_air_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Air_Cast_Cone_Air_Tornado_Hand_01:Dummy_L_HandFX;RS3_FX_Skills_Air_Cast_Cone_Air_Tornado_Hand_Cast_01:Dummy_L_HandFX,Dummy_R_HandFX:cast"
data "TargetEffect" "RS3_FX_UI_TargetPreviewer_Air_01"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "CleanseStatuses" "INVISIBLE;BURNING;AMER_SCORCHED;AMER_SLOWED_1;AMER_SLOWED_2;AMER_SLOWED_3"
data "StatusClearChance" "100"
