new entry "Wall_LivingWall"
type "SkillData"
data "SkillType" "Wall"
data "ForGameMaster" "Yes"
data "Ability" "Earth"
data "Tier" "Master"
data "ActionPoints" "5"
data "Cooldown" "5"
data "Requirements" "Combat"
data "TargetRadius" "13"
data "MaxDistance" "7"
data "Lifetime" "2"
data "GrowSpeed" "15"
data "GrowTimeout" "0"
data "SurfaceType" "Sentinel"
data "SurfaceStatusChance" "100"
data "Icon" "Skill_Earth_LivingWall"
data "DisplayName" "Wall_LivingWall_DisplayName"
data "DisplayNameRef" "Living Wall"
data "Description" "Wall_LivingWall_Description"
data "DescriptionRef" "<font size='19'>A wall of roots up to [2] long erupts from the earth, dealing [1], applying Calcifying for 2 turns, and up to Slowed III for 2 turns to those caught within. The wall blocks vision, projectiles, and movement, and lasts for 2 turns. Characters caught within the wall as it is created are able to move out of it.<br><br><font color='c80030'>Slowed III</font> consumes 7 Harried:<br>Target has reduced movement and AP recovery.</font><br><br><font color='46b195'>Source Infusions:</font><font size='17'><br><font color='46b195'>1: </font>+25% damage (+4% per Geomancer) while casting.<br><font color='46b195'>2 (requires 5 Geomancer): </font>Gain an Empowered Living Wall spell, until the end of your turn, that costs zero AP.<br><font color='46b195'>3 (requires 9 Geomancer): </font>Gain an Empowered Living Wall spell, for 3 turns, that costs 3AP and has no cooldown.<br><font color='858580' size='18' face="Averia Serif"><br>Tiered statuses apply up to tier 3 and reduce resistances; see your journal for a full description.</font></font>"
data "StatsDescriptionParams" "Skill:Projectile_AMER_SCRIPT_LivingWall:Damage;MaxDistance;Lifetime"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_totem_01_start"
data "PrepareAnimationLoop" "skill_prepare_totem_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Earth_Prepare_Totem_Root_01,KeepRot,Detach:Dummy_Root"
data "CastAnimation" "skill_cast_summon_totem_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Earth_Cast_Summon_Totem_Root_01:Dummy_Root"
data "SourceTargetEffect" "RS3_FX_UI_Target_LivingWall_Mesh_01"
data "TargetTargetEffect" "RS3_FX_UI_Target_LivingWall_Mesh_01"
data "Template1" "b8ed8d67-2217-4005-9501-25ad2ea872c4"
data "Template2" "7e71045c-52f4-4cc1-85ce-86dc69d21a22"
data "Template3" "d6d6019b-3b23-4e99-aced-942661d395e9"
data "Memory Cost" "2"
data "Magic Cost" "0"
data "MemorizationRequirements" "EarthSpecialist 3"
data "PreviewEffect" "RS3_FX_UI_Target_LivingWall_Mesh_01"

