new entry "Derpy_Petrifaction"
type "StatusData"
data "StatusType" "DAMAGE_ON_MOVE"
data "ForGameMaster" "Yes"
data "InitiateCombat" "Yes"
data "DisplayName" "Derpy_Petrifaction_DisplayName"
data "DisplayNameRef" "Petrifaction"
data "Description" "Derpy_Petrifaction_Description"
data "DescriptionRef" "Character is damaged by movement."
data "Icon" "Skill_Earth_OilSpring"
data "FormatColor" "Red"
data "StatusEffect" "RS3_FX_GP_Status_BrokenKnee_01:Dummy_Root"
data "StackId" "Stack_Derpy_Petrifaction"
data "DamageEvent" "None"
data "DamageStats" "Damage_Derpy_Petrifaction"
data "DeathType" "PetrifiedShatter"
data "DamageCharacters" "Yes"
data "DamageItems" "No"
data "DamageTorches" "No"
data "PermanentOnTorch" "No"
data "SpawnBlood" "Yes"

